ID,Project ID,Controller,Module,IOChannel,SoftwareTag,PointDescription,InstallCheck1,InstallCheck2,InstallCheck3,CommCheck1,CommCheck2,Notes
472478,34,MSB2TDS-B-PM,NA,RectiveEngy,MSB2TDS-B-PM_RectiveEngy,Reactive Energy kVarh,Pass,Pass,Pass,Pass,Pass,
472479,34,MSB2TDS-B-PM,NA,Vab,MSB2TDS-B-PM_Vab,Phase-Phase A-B Voltage,Pass,Pass,Pass,Pass,Pass,
472480,34,MSB2TDS-B-PM,NA,Van,MSB2TDS-B-PM_Van,Phase-Neutral A-N Voltage,Pass,Pass,Pass,Pass,Pass,
472481,34,MSB2TDS-B-PM,NA,Vbc,MSB2TDS-B-PM_Vbc,Phase-Phase B-C Voltage,Pass,Pass,Pass,Pass,Pass,
472482,34,MSB2TDS-B-PM,NA,Vbn,MSB2TDS-B-PM_Vbn,Phase-Neutral B-N Voltage,Pass,Pass,Pass,Pass,Pass,
472483,34,MSB2TDS-B-PM,NA,Vca,MSB2TDS-B-PM_Vca,Phase-Phase C-A Voltage,Pass,Pass,Pass,Pass,Pass,
472484,34,MSB2TDS-B-PM,NA,Vcn,MSB2TDS-B-PM_Vcn,Phase-Neutral C-N Voltage,Pass,Pass,Pass,Pass,Pass,
521707,34,MSB2Tunnel Drainage System B-CB,LV Gateway,CbSts,MSB2Tunnel Drainage System B-CB_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
521708,34,MSB2Tunnel Drainage System B-CB,LV Gateway,CbTrip,MSB2Tunnel Drainage System B-CB_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
521709,34,MSB2Tunnel Drainage System B-PM,NA,ActiveEngy,MSB2Tunnel Drainage System B-PM_ActiveEngy,Active Energy kWh,Pass,Pass,Pass,Pass,Pass,
521710,34,MSB2Tunnel Drainage System B-PM,NA,Ib,MSB2Tunnel Drainage System B-PM_Ib,Phase B Current Amps,Pass,Pass,Pass,Pass,Pass,
521711,34,MSB2Tunnel Drainage System B-PM,NA,Ic,MSB2Tunnel Drainage System B-PM_Ic,Phase C Current Amps,Pass,Pass,Pass,Pass,Pass,
521712,34,MSB2Tunnel Drainage System B-PM,NA,la,MSB2Tunnel Drainage System B-PM_la,Phase A Current Amps,Pass,Pass,Pass,Pass,Pass,
